;25C;27C;29C;31C;33C;35C;37C;39C;41C;43C;45C;49C;51C
360;0.258484;0.25116;0.25116;0.252075;0.254822;0.248718;0.245667;0.23468000000000003;0.228577;0.18951400000000002;0.184937;0.17944300000000002;0.179749
361;0.26306199999999996;0.258484;0.254822;0.257263;0.259094;0.253296;0.252075;0.242004;0.231323;0.19104000000000002;0.18981900000000002;0.187378;0.183411
362;0.28137199999999996;0.274353;0.27069099999999996;0.274353;0.272217;0.269165;0.269165;0.256958;0.243835;0.209961;0.204773;0.19989;0.19775399999999999
363;0.30426;0.296631;0.293579;0.297852;0.30365;0.299072;0.289612;0.280762;0.266418;0.23010300000000003;0.226135;0.220642;0.216675
364;0.334778;0.327148;0.322571;0.326843;0.325928;0.327759;0.323792;0.315857;0.29693600000000003;0.256653;0.248718;0.24536100000000002;0.242004
365;0.35430900000000004;0.350037;0.344543;0.345459;0.357971;0.35430900000000004;0.349426;0.33874499999999996;0.319519;0.279541;0.272522;0.26367199999999996;0.261536
366;0.373535;0.369263;0.35736100000000004;0.36499000000000004;0.375366;0.37384;0.368347;0.358582;0.33905;0.299072;0.291138;0.281677;0.275269
367;0.38513200000000003;0.37902800000000003;0.366211;0.380554;0.388489;0.38574200000000003;0.379639;0.366821;0.346069;0.309753;0.29388400000000003;0.291748;0.28442399999999995
368;0.414734;0.402832;0.394287;0.404968;0.405273;0.405579;0.397034;0.382385;0.35736100000000004;0.314026;0.305176;0.301514;0.29632600000000003
369;0.501709;0.482178;0.47576899999999994;0.478821;0.473022;0.47363299999999997;0.455322;0.439148;0.406494;0.354919;0.346985;0.33874499999999996;0.325317
370;0.744019;0.704651;0.684204;0.685425;0.675049;0.661316;0.6442260000000001;0.606689;0.554199;0.47973599999999994;0.461121;0.444641;0.42877200000000004
371;1.11816;1.0614;1.01868;1.01715;0.9942629999999999;0.979309;0.9393309999999999;0.877991;0.808716;0.696411;0.673218;0.6369020000000001;0.617676
372;1.58691;1.48102;1.4410399999999999;1.45081;1.4386;1.41998;1.36322;1.27899;1.1615;1.01471;0.968628;0.9140010000000001;0.890808
373;1.9152799999999999;1.8158;1.7486599999999999;1.78162;1.7950400000000002;1.78772;1.7208900000000003;1.60919;1.46454;1.28967;1.2365700000000002;1.16516;1.1251799999999998
374;1.99951;1.89972;1.8405200000000002;1.88232;1.93878;1.9393900000000002;1.86035;1.75079;1.60065;1.42456;1.3607799999999999;1.2951700000000002;1.25
375;1.8264799999999999;1.74377;1.69983;1.7459099999999999;1.8045;1.81885;1.7489599999999998;1.6601599999999999;1.5145899999999999;1.34979;1.30249;1.24237;1.19415
376;1.53778;1.474;1.4389;1.48438;1.52985;1.52985;1.4859;1.42334;1.30035;1.16699;1.11877;1.0739100000000001;1.03271
377;1.3751200000000001;1.31836;1.28693;1.32233;1.35162;1.3546799999999999;1.31775;1.25732;1.1538700000000002;1.0400399999999999;1.00342;0.956116;0.923767
378;1.3678;1.31378;1.27319;1.30341;1.31836;1.32935;1.2878399999999999;1.2262;1.12732;1.01532;0.983276;0.9356690000000001;0.9112549999999999
379;1.44897;1.38245;1.34216;1.37268;1.38885;1.40717;1.35071;1.2933299999999999;1.1853;1.07544;1.0376;0.994873;0.9637450000000001
380;1.51978;1.4547700000000001;1.4227299999999998;1.44135;1.47064;1.48376;1.4349399999999999;1.37634;1.26312;1.14716;1.10046;1.06171;1.01624
381;1.57745;1.5036;1.4636200000000001;1.48926;1.52863;1.53625;1.48682;1.4212;1.31683;1.18835;1.14349;1.09161;1.05713
382;1.6748;1.5881299999999998;1.54205;1.57776;1.59943;1.60065;1.56128;1.48773;1.3720700000000001;1.25183;1.2066700000000001;1.15234;1.11237
383;1.8209799999999998;1.72943;1.67999;1.7105099999999998;1.7309599999999998;1.7291299999999998;1.6763299999999999;1.60065;1.48682;1.36047;1.31195;1.24329;1.20575
384;1.9729599999999998;1.88599;1.8447900000000002;1.8594400000000002;1.89087;1.8933099999999998;1.84631;1.76331;1.63116;1.48651;1.4447;1.36658;1.32904
385;2.03613;1.9448900000000002;1.8942299999999999;1.9458;1.97174;1.98364;1.9293200000000001;1.8420400000000001;1.7132599999999998;1.57227;1.5173299999999998;1.43707;1.38916
386;1.9967700000000002;1.88263;1.8481400000000001;1.90155;1.9412200000000002;1.9610599999999998;1.9003299999999999;1.82434;1.6925;1.5399200000000002;1.49017;1.4254799999999999;1.3684100000000001
387;1.91071;1.82129;1.7712400000000001;1.80908;1.85486;1.85791;1.8066400000000002;1.74225;1.60309;1.46484;1.41846;1.3552899999999999;1.3040200000000002
388;1.87958;1.79657;1.74225;1.7886400000000002;1.81915;1.80634;1.7639200000000002;1.68518;1.55273;1.42426;1.3681;1.30829;1.26465
389;1.9247400000000001;1.82922;1.7871099999999998;1.8139599999999998;1.84875;1.8454;1.80023;1.71173;1.5823399999999999;1.4410399999999999;1.39343;1.32324;1.27716
390;2.01935;1.9064299999999998;1.87195;1.90094;1.92963;1.9290200000000002;1.87927;1.7819200000000002;1.6287200000000002;1.49689;1.4346299999999998;1.37085;1.31775
391;2.10754;2.00073;1.94733;1.9760099999999998;2.00287;2.00287;1.9421400000000002;1.8515;1.6873200000000002;1.53168;1.47827;1.40015;1.3659700000000001
392;2.20032;2.08649;2.02148;2.05139;2.0788599999999997;2.07428;2.00256;1.91345;1.7611700000000001;1.5802;1.5213;1.4434799999999999;1.3958700000000002
393;2.28058;2.1521;2.10541;2.13196;2.16125;2.14813;2.07306;1.9818099999999998;1.8139599999999998;1.62903;1.5741;1.49506;1.4465299999999999
394;2.33734;2.20245;2.13165;2.17834;2.21802;2.21924;2.15271;2.04529;1.86523;1.68213;1.62201;1.53564;1.48468
395;2.29553;2.16949;2.1179200000000002;2.15118;2.20703;2.2036700000000002;2.13196;2.02698;1.8594400000000002;1.68335;1.6214;1.5231299999999999;1.47858
396;2.13837;2.04163;1.99249;2.03979;2.08405;2.0977799999999998;2.0340000000000003;1.9293200000000001;1.76056;1.6110200000000001;1.54114;1.45905;1.41357
397;1.95953;1.87347;1.8197599999999998;1.8667599999999998;1.91345;1.9323700000000001;1.8536400000000002;1.7758200000000002;1.6223100000000001;1.48315;1.42151;1.3546799999999999;1.30951
398;1.7520099999999998;1.66565;1.62079;1.6626;1.70502;1.7065400000000002;1.66534;1.5918;1.45508;1.32233;1.2847899999999999;1.21674;1.17065
399;1.5911899999999999;1.50665;1.48315;1.51672;1.55487;1.55243;1.51001;1.44836;1.33331;1.2075799999999999;1.17523;1.1166399999999999;1.0739100000000001
400;1.46698;1.40045;1.36932;1.40015;1.41907;1.43524;1.38428;1.33362;1.22406;1.12305;1.08643;1.02997;0.985107
401;1.3974;1.33545;1.30188;1.32813;1.34735;1.3504;1.31256;1.2558;1.16394;1.0565200000000001;1.02417;0.97229;0.939636
402;1.34735;1.2793;1.24664;1.27777;1.28662;1.29456;1.26801;1.19995;1.10565;1.01532;0.979309;0.9320069999999999;0.898438
403;1.30463;1.23779;1.20575;1.2365700000000002;1.25488;1.25214;1.22375;1.17004;1.07025;0.977783;0.952759;0.905151;0.870361
404;1.25946;1.1969;1.1673;1.18591;1.21613;1.2149;1.18408;1.12091;1.0376;0.9494020000000001;0.917969;0.874634;0.846558
405;1.2207;1.16394;1.1264;1.15631;1.17767;1.17218;1.1386100000000001;1.09009;1.00739;0.9283450000000001;0.887451;0.8474729999999999;0.8212280000000001
406;1.18561;1.1264;1.09467;1.11176;1.1392200000000001;1.1300700000000001;1.10352;1.0549899999999999;0.979309;0.899048;0.8605959999999999;0.817261;0.79071
407;1.1496;1.08887;1.0656700000000001;1.07971;1.10504;1.10291;1.0708600000000001;1.026;0.948486;0.862427;0.838623;0.794983;0.767517
408;1.09955;1.0427899999999999;1.01807;1.04095;1.0574299999999999;1.05865;1.0305799999999998;0.9854129999999999;0.901489;0.8258059999999999;0.8068850000000001;0.7556149999999999;0.740967
409;1.05682;1.0037200000000002;0.98175;0.9951780000000001;1.01349;1.02509;0.9838870000000001;0.9451290000000001;0.8639530000000001;0.791931;0.762329;0.727539;0.705566
410;1.02325;0.9725950000000001;0.9515379999999999;0.965881;0.9774780000000001;0.9747309999999999;0.9481809999999999;0.903015;0.832825;0.758057;0.732117;0.696106;0.675964
411;0.997925;0.950317;0.925293;0.939636;0.953674;0.950623;0.921631;0.875244;0.8032229999999999;0.7339479999999999;0.7150270000000001;0.680542;0.657959
412;0.986633;0.932312;0.91217;0.92865;0.92804;0.9341430000000001;0.9072879999999999;0.864563;0.7910159999999999;0.717468;0.6912229999999999;0.666199;0.636292
413;0.961609;0.9182739999999999;0.894775;0.9124760000000001;0.921631;0.912781;0.8929440000000001;0.85083;0.775452;0.70282;0.682678;0.649414;0.624084
414;0.9509280000000001;0.9118649999999999;0.8786010000000001;0.892639;0.897217;0.8959959999999999;0.873718;0.832825;0.75531;0.687561;0.66864;0.629272;0.609741
415;0.9341430000000001;0.8944700000000001;0.8718870000000001;0.8798219999999999;0.883484;0.883484;0.8566280000000001;0.8236690000000001;0.7479859999999999;0.67688;0.649109;0.619812;0.601807
416;0.926514;0.878906;0.8590700000000001;0.866699;0.877075;0.871582;0.837097;0.8047489999999999;0.732117;0.663452;0.6408689999999999;0.603333;0.586853
417;0.913391;0.8694459999999999;0.848389;0.863342;0.860291;0.8581540000000001;0.828857;0.794678;0.722046;0.653381;0.627747;0.592651;0.576172
418;0.886841;0.8566280000000001;0.831909;0.8374020000000001;0.8468629999999999;0.834656;0.814819;0.772705;0.712585;0.6408689999999999;0.618896;0.583496;0.567627
419;0.8734129999999999;0.8316040000000001;0.807495;0.815735;0.818481;0.8145140000000001;0.79071;0.755005;0.684204;0.618591;0.603638;0.568542;0.55542
420;0.8285520000000001;0.794067;0.776978;0.7833859999999999;0.788879;0.783081;0.758057;0.726013;0.65979;0.5938720000000001;0.572815;0.546265;0.532227
421;0.788879;0.745544;0.738831;0.738525;0.758667;0.740967;0.723572;0.688171;0.625916;0.556946;0.5447390000000001;0.516968;0.5020140000000001
422;0.726013;0.692749;0.677795;0.683289;0.6912229999999999;0.685425;0.665283;0.638123;0.583191;0.517578;0.500488;0.478516;0.463562
423;0.6719970000000001;0.643616;0.6216430000000001;0.6347659999999999;0.628967;0.632935;0.612793;0.582275;0.542297;0.4776;0.46539300000000006;0.441589;0.43335
424;0.613708;0.588684;0.5715939999999999;0.575562;0.571289;0.572815;0.554504;0.525208;0.49926800000000005;0.437622;0.41900600000000005;0.40222199999999997;0.39306599999999997
425;0.5639649999999999;0.5435180000000001;0.538025;0.5386350000000001;0.529175;0.525208;0.509033;0.49346899999999994;0.44830299999999995;0.400391;0.38269000000000003;0.368652;0.359802
426;0.534058;0.510559;0.496521;0.501709;0.489807;0.48736599999999997;0.472412;0.451355;0.41137700000000005;0.361633;0.35430900000000004;0.34484899999999996;0.333862
427;0.510254;0.493774;0.479126;0.47729499999999997;0.466003;0.46539300000000006;0.447388;0.43029799999999996;0.39032;0.340881;0.331726;0.323792;0.318604
428;0.492554;0.47729499999999997;0.464478;0.46386700000000003;0.445862;0.43823199999999995;0.43273900000000004;0.410156;0.370178;0.322266;0.319519;0.304871;0.299377
429;0.47973599999999994;0.46539300000000006;0.456848;0.44891400000000004;0.43396;0.431519;0.41748;0.39916999999999997;0.358582;0.312805;0.30395500000000003;0.29388400000000003;0.289612
430;0.472412;0.459595;0.44342;0.43792700000000007;0.422363;0.415649;0.404053;0.38879400000000003;0.350647;0.299377;0.308838;0.28717;0.280762
431;0.469055;0.45257600000000003;0.444641;0.433044;0.41534399999999994;0.40802;0.39916999999999997;0.378723;0.340881;0.29541;0.290833;0.281677;0.274658
432;0.46417200000000003;0.45013400000000003;0.438538;0.429382;0.410156;0.399475;0.38574200000000003;0.37323;0.333557;0.288086;0.281067;0.27313200000000004;0.267334
433;0.46173100000000006;0.44250500000000004;0.43426499999999996;0.42572;0.403442;0.397339;0.379944;0.36377;0.326843;0.27618400000000004;0.281982;0.26367199999999996;0.260925
434;0.45623800000000003;0.438538;0.43060299999999996;0.421753;0.391846;0.387878;0.375671;0.35949699999999996;0.32104499999999997;0.269775;0.263977;0.257263;0.256042
435;0.455017;0.438538;0.42907700000000004;0.41748;0.39245599999999997;0.377197;0.366821;0.350342;0.314026;0.26000999999999996;0.258484;0.253296;0.250854
436;0.4599;0.441284;0.42511000000000004;0.42144799999999993;0.383301;0.377197;0.366516;0.346985;0.309143;0.256348;0.253906;0.243835;0.245056
437;0.457153;0.447083;0.43243400000000004;0.423279;0.384216;0.377502;0.363159;0.344543;0.308838;0.253601;0.247192;0.245056;0.245056
438;0.466919;0.44891400000000004;0.437317;0.42053199999999996;0.387268;0.37811300000000003;0.36438000000000004;0.34881599999999996;0.308533;0.252686;0.24841300000000002;0.24169899999999997;0.244141
439;0.472717;0.45654300000000003;0.441589;0.43029799999999996;0.394287;0.376892;0.364685;0.346375;0.308838;0.252075;0.25116;0.242615;0.24475100000000002
440;0.4776;0.46173100000000006;0.453491;0.43060299999999996;0.394897;0.382996;0.367737;0.349731;0.31189;0.247192;0.24841300000000002;0.24658200000000002;0.24658200000000002
441;0.48919700000000005;0.46936000000000005;0.459595;0.44006300000000004;0.397339;0.384521;0.37506100000000003;0.355225;0.312195;0.24963400000000002;0.24658200000000002;0.245667;0.240173
442;0.49316400000000005;0.477905;0.463257;0.447388;0.401917;0.387878;0.376282;0.358887;0.31311;0.248108;0.250854;0.245056;0.243225
443;0.505371;0.48492399999999997;0.474243;0.449829;0.404968;0.39245599999999997;0.376587;0.36132800000000004;0.31799299999999997;0.248718;0.258179;0.245667;0.24475100000000002
444;0.510864;0.492554;0.48095699999999997;0.456848;0.40863;0.392151;0.38208000000000003;0.359192;0.32195999999999997;0.25177;0.247498;0.25054899999999997;0.246277
445;0.517883;0.49865699999999996;0.487976;0.46386700000000003;0.40924099999999997;0.39550799999999997;0.38116500000000003;0.359192;0.317078;0.246887;0.246277;0.247192;0.24353000000000002
446;0.519714;0.502319;0.492249;0.461121;0.408936;0.396729;0.376282;0.36132800000000004;0.316162;0.247498;0.247498;0.244446;0.24231
447;0.526123;0.507813;0.49408;0.463562;0.41534399999999994;0.393372;0.376282;0.359802;0.31494099999999997;0.24291999999999997;0.24169899999999997;0.246887;0.24231
448;0.522461;0.500488;0.49713100000000005;0.463257;0.40313699999999997;0.394897;0.376892;0.35553;0.3125;0.23773200000000003;0.240173;0.23895300000000003;0.239258
449;0.527039;0.507202;0.498047;0.46386700000000003;0.401001;0.39550799999999997;0.372314;0.352478;0.309448;0.23406999999999997;0.23529099999999997;0.234375;0.230713
450;0.530701;0.505371;0.49865699999999996;0.46020500000000003;0.401917;0.38208000000000003;0.36743200000000004;0.34881599999999996;0.302734;0.227661;0.230408;0.229187;0.227661
451;0.526428;0.508728;0.494385;0.46173100000000006;0.40222199999999997;0.376892;0.36193800000000004;0.34362800000000004;0.29998800000000003;0.224609;0.22583000000000003;0.22796599999999997;0.228271
452;0.532227;0.508423;0.49926800000000005;0.462646;0.398865;0.379944;0.361023;0.340881;0.29541;0.224609;0.224915;0.224915;0.223083
453;0.530396;0.513916;0.504456;0.463562;0.394592;0.37811300000000003;0.35675;0.342712;0.296631;0.21606399999999998;0.22033699999999998;0.221252;0.223694
454;0.540161;0.517578;0.505371;0.466919;0.393982;0.377197;0.35827600000000004;0.34179699999999996;0.290833;0.214844;0.21820100000000003;0.221252;0.22277800000000003
455;0.544434;0.520325;0.511475;0.469971;0.39550799999999997;0.375366;0.359802;0.340881;0.293274;0.21606399999999998;0.218506;0.217896;0.219727
456;0.555725;0.53009;0.518799;0.478516;0.398865;0.38269000000000003;0.36499000000000004;0.34118699999999996;0.293579;0.213928;0.21698;0.21759;0.21911599999999998
457;0.5502319999999999;0.5349729999999999;0.532837;0.475159;0.401917;0.379333;0.363464;0.343323;0.291443;0.21820100000000003;0.216675;0.219727;0.21728499999999998
458;0.561829;0.5413819999999999;0.532532;0.48126199999999997;0.407104;0.384521;0.364685;0.34484899999999996;0.29693600000000003;0.21270799999999998;0.22094699999999998;0.220032;0.21820100000000003
459;0.5661010000000001;0.543823;0.5413819999999999;0.483704;0.410156;0.384521;0.36743200000000004;0.34729;0.29693600000000003;0.21453899999999998;0.216675;0.21911599999999998;0.21911599999999998
460;0.574646;0.5502319999999999;0.534058;0.49072299999999996;0.40679899999999997;0.384216;0.370178;0.347595;0.29632600000000003;0.21423299999999998;0.216675;0.219727;0.22033699999999998
461;0.576477;0.554199;0.5432130000000001;0.49072299999999996;0.41259799999999996;0.391846;0.37323;0.345154;0.298462;0.21514899999999998;0.216675;0.22094699999999998;0.21636999999999998
462;0.583496;0.561829;0.543823;0.495605;0.415955;0.392761;0.371704;0.352478;0.298462;0.21514899999999998;0.21636999999999998;0.21911599999999998;0.219421
463;0.589294;0.560608;0.550842;0.49926800000000005;0.41748;0.393372;0.371094;0.349426;0.298157;0.213623;0.21759;0.218811;0.218506
464;0.593262;0.569763;0.553894;0.501404;0.418396;0.390625;0.377197;0.358582;0.298767;0.215759;0.21698;0.218811;0.21728499999999998
465;0.59021;0.569458;0.551453;0.505371;0.417175;0.397034;0.376892;0.358582;0.299072;0.211792;0.216675;0.21911599999999998;0.220642
466;0.600586;0.567627;0.556946;0.510559;0.41900600000000005;0.397339;0.379333;0.35614;0.300293;0.215454;0.21698;0.217896;0.22033699999999998
467;0.59967;0.5780029999999999;0.5584720000000001;0.5075069999999999;0.422363;0.397034;0.379639;0.35949699999999996;0.300598;0.21087600000000004;0.218506;0.219421;0.22094699999999998
468;0.606384;0.579834;0.5627439999999999;0.511169;0.423279;0.40008499999999997;0.378418;0.359802;0.29998800000000003;0.21453899999999998;0.21911599999999998;0.21911599999999998;0.22033699999999998
469;0.604858;0.579529;0.567932;0.512695;0.423584;0.40008499999999997;0.382385;0.35827600000000004;0.295715;0.214844;0.21911599999999998;0.21728499999999998;0.218506
470;0.608826;0.577393;0.559387;0.505066;0.42144799999999993;0.39855999999999997;0.378723;0.357666;0.29632600000000003;0.21759;0.213623;0.21911599999999998;0.217896
471;0.604858;0.5776979999999999;0.563049;0.509033;0.42266800000000004;0.400391;0.37811300000000003;0.35614;0.30090300000000003;0.214844;0.213623;0.21820100000000003;0.21728499999999998
472;0.6073;0.578918;0.563354;0.512695;0.419922;0.394592;0.375977;0.352478;0.292053;0.20721399999999998;0.213013;0.21606399999999998;0.217896
473;0.602722;0.5776979999999999;0.5639649999999999;0.505981;0.41748;0.395813;0.375977;0.35125700000000004;0.294189;0.207825;0.213013;0.213623;0.21514899999999998
474;0.6002810000000001;0.576782;0.5578609999999999;0.509338;0.415649;0.389404;0.369873;0.349731;0.290222;0.206604;0.20904499999999998;0.21270799999999998;0.215454
475;0.597229;0.5725100000000001;0.55603;0.501709;0.41290299999999996;0.386963;0.368042;0.349426;0.285339;0.207825;0.20874;0.21087600000000004;0.213623
476;0.593262;0.567932;0.552673;0.496216;0.411682;0.386658;0.367737;0.346985;0.283508;0.20233199999999998;0.203552;0.209351;0.20874
477;0.592346;0.561523;0.54657;0.491638;0.41046099999999996;0.382385;0.36743200000000004;0.343933;0.281982;0.20080599999999998;0.201416;0.204468;0.205078
478;0.5856319999999999;0.559692;0.544434;0.48736599999999997;0.39916999999999997;0.375366;0.357056;0.336304;0.276489;0.195923;0.198364;0.202026;0.20263699999999998
479;0.58197;0.557251;0.539856;0.488281;0.404663;0.374146;0.359192;0.333862;0.274048;0.193481;0.198975;0.201721;0.19989
480;0.573425;0.553284;0.533447;0.481567;0.389404;0.368652;0.350037;0.331421;0.26886;0.194702;0.194702;0.196838;0.19927999999999998
481;0.569153;0.544434;0.527954;0.47729499999999997;0.391235;0.368652;0.349121;0.326538;0.266418;0.190125;0.19439700000000001;0.193176;0.194702
482;0.565796;0.542603;0.5212399999999999;0.47180200000000005;0.387268;0.360718;0.346069;0.322266;0.26367199999999996;0.19043;0.190735;0.192261;0.19439700000000001
483;0.5627439999999999;0.531616;0.520325;0.466919;0.383911;0.361023;0.337219;0.31799299999999997;0.258484;0.184631;0.189209;0.18981900000000002;0.19500699999999999
484;0.55603;0.528564;0.5157470000000001;0.457458;0.37384;0.355225;0.335999;0.315247;0.256348;0.18219000000000002;0.181885;0.187683;0.189209
485;0.549927;0.523682;0.505981;0.453796;0.369568;0.352783;0.331726;0.31005900000000003;0.252686;0.177612;0.18096900000000002;0.184937;0.186157
486;0.5386350000000001;0.5212399999999999;0.49865699999999996;0.44647200000000004;0.36438000000000004;0.344543;0.325623;0.303345;0.24597199999999997;0.174561;0.18096900000000002;0.178833;0.180054
487;0.530701;0.506592;0.492554;0.4422;0.358887;0.34179699999999996;0.32043499999999997;0.297852;0.242004;0.173035;0.174561;0.177307;0.178223
488;0.5273439999999999;0.503845;0.490417;0.435486;0.353088;0.334473;0.318298;0.301514;0.239563;0.167542;0.174561;0.176697;0.17486600000000002
489;0.523682;0.492249;0.482788;0.432129;0.350342;0.332336;0.31005900000000003;0.289612;0.235596;0.167236;0.170593;0.17181400000000002;0.171509
490;0.510864;0.490417;0.472412;0.422363;0.34362800000000004;0.326843;0.306396;0.285339;0.23162800000000003;0.166016;0.166321;0.168457;0.169373
491;0.502319;0.480347;0.467834;0.414429;0.335083;0.323181;0.30365;0.282593;0.226135;0.162659;0.165405;0.166931;0.168762
492;0.50415;0.474854;0.458984;0.411987;0.335388;0.315247;0.301819;0.279846;0.221863;0.158386;0.161743;0.164185;0.16449
493;0.491638;0.469055;0.454712;0.408325;0.329285;0.311584;0.297241;0.274353;0.220642;0.15686;0.162354;0.162048;0.162354
494;0.481567;0.454712;0.447083;0.401001;0.324707;0.304871;0.28717;0.27069099999999996;0.21636999999999998;0.153198;0.156555;0.158386;0.159912
495;0.47454799999999997;0.45776400000000006;0.44036899999999995;0.39611799999999997;0.319519;0.301819;0.28625500000000004;0.26306199999999996;0.211182;0.150757;0.153809;0.155029;0.153503
496;0.465088;0.444641;0.43060299999999996;0.387268;0.310974;0.295105;0.278931;0.256958;0.20538299999999998;0.146179;0.150146;0.153198;0.151062
497;0.457153;0.43456999999999996;0.42114300000000005;0.378418;0.306396;0.28625500000000004;0.271301;0.255127;0.202026;0.141907;0.147705;0.149231;0.14801
498;0.45013400000000003;0.428162;0.41259799999999996;0.369263;0.296631;0.28137199999999996;0.26672399999999996;0.248718;0.19531300000000001;0.141907;0.144653;0.144653;0.145264
499;0.436096;0.412292;0.405273;0.361023;0.289612;0.27618400000000004;0.26061999999999996;0.242004;0.19165;0.13855;0.140381;0.142517;0.14221199999999998
500;0.42907700000000004;0.40679899999999997;0.393982;0.355225;0.28656;0.26886;0.25299099999999997;0.23590100000000003;0.184937;0.13336199999999998;0.13610799999999998;0.137024;0.13855
